age,value
0,15869
1,14464
2,13567
3,12853
4,12250
5,11721
6,11238
7,10807
8,10411
9,10025
10,9657
11,9310
12,8982
13,8676
14,8389
15,8118
16,7859
17,7606
18,7353
19,7099
20,6854
21,6617
22,6375
23,6140
24,5922
25,5713
26,5510
27,5307
28,5108
29,4916
30,4699
31,4523
32,4439
33,4342
34,4200
35,4046
36,3889
37,3740
38,3602
39,3471
40,3350
41,3244
42,3143
43,3037
44,2928
45,2826
46,2735
47,2644
48,2553
49,2462
50,2372
51,2283
52,2196
53,2111
54,2026
55,1944
56,1863
57,1784
58,1708
59,1633
60,1555
61,1478
62,1400
63,1323
64,1247
65,1172
66,1101
67,1024
68,949
69,877
70,807
71,737
72,669
73,603
74,540
75,480
76,423
77,371
78,321
79,276
80,235
81,197
82,164
83,134
84,108
85,86
86,67
87,52
88,39
89,29
90,22
91,16
92,11
93,8
94,5
95,4
96,2
97,2
98,1
99,1
100,1
