Time,Sex,AgeGrpStart,mx,,,
1980,Male,0,0.13817,,,
1980,Male,1,0.04361,,,
1980,Male,2,0.02855,,,
1980,Male,3,0.01973,,,
1980,Male,4,0.01394,,,
1980,Male,5,0.01031,,,
1980,Male,6,0.00797,,,
1980,Male,7,0.00636,,,
1980,Male,8,0.00528,,,
1980,Male,9,0.00456,,,
1980,Male,10,0.00408,,,
1980,Male,11,0.00376,,,
1980,Male,12,0.00364,,,
1980,Male,13,0.00364,,,
1980,Male,14,0.00376,,,
1980,Male,15,0.00398,,,
1980,Male,16,0.00431,,,
1980,Male,17,0.00472,,,
1980,Male,18,0.00519,,,
1980,Male,19,0.00576,,,
1980,Male,20,0.00633,,,
1980,Male,21,0.00681,,,
1980,Male,22,0.00715,,,
1980,Male,23,0.00735,,,
1980,Male,24,0.00746,,,
1980,Male,25,0.00748,,,
1980,Male,26,0.00749,,,
1980,Male,27,0.00750,,,
1980,Male,28,0.00756,,,
1980,Male,29,0.00766,,,
1980,Male,30,0.00781,,,
1980,Male,31,0.00795,,,
1980,Male,32,0.00817,,,
1980,Male,33,0.00837,,,
1980,Male,34,0.00857,,,
1980,Male,35,0.00881,,,
1980,Male,36,0.00906,,,
1980,Male,37,0.00934,,,
1980,Male,38,0.00969,,,
1980,Male,39,0.01006,,,
1980,Male,40,0.01051,,,
1980,Male,41,0.01089,,,
1980,Male,42,0.01137,,,
1980,Male,43,0.01176,,,
1980,Male,44,0.01219,,,
1980,Male,45,0.01266,,,
1980,Male,46,0.01311,,,
1980,Male,47,0.01369,,,
1980,Male,48,0.01438,,,
1980,Male,49,0.01514,,,
1980,Male,50,0.01604,,,
1980,Male,51,0.01685,,,
1980,Male,52,0.01786,,,
1980,Male,53,0.01877,,,
1980,Male,54,0.01975,,,
1980,Male,55,0.02077,,,
1980,Male,56,0.02192,,,
1980,Male,57,0.02320,,,
1980,Male,58,0.02478,,,
1980,Male,59,0.02656,,,
1980,Male,60,0.02873,,,
1980,Male,61,0.03082,,,
1980,Male,62,0.03340,,,
